"Source:","http://www.lib.berkeley.edu/MRC/Sovietfilm.html"
"

Contents:
"
"â€¢149; Ѭ href=""#soviet"">Russia (Soviet Union)Ж","â€¢149; Ѭ href=""#russia"">Russian Silent FilmЖ","â€¢149; Ѭ href=""#czech"">CzechoslovakiaЖ","â€¢149; Ѭ href=""#hungary"">HungaryЖ","â€¢149; Ѭ href=""#poland"">PolandЖ","â€¢149; Ѭ href=""#romania"">RomaniaЖ","â€¢149; Ѭ href=""#yugo"">Yugoslavia/Serbia/Croatia/MacedoniaЖ"
"The Lady with a Dog (Dama s sobachkoj) (1960)","Directed by Iosif Kheifits. Cast: Iya Savvina, Aleksei Batalov, Nina Alisova, Pantelejmon Krymov, Yuri Medvedev, and Vladimir Erenberg. A film adaptation of Chekov's story about a bored, middle-aged, married banker from Moscow who meets a young married woman while on vacation in Yalta at the beginning of the century. They drift into an affair that turns into true love, yet the conventions of society and the couple's need to feel respectable force them to return to their old lives. 89 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6758"">DVD X6758Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0053746/"">Credits and other information from the Internet Movie DatabaseЖ"
"Late Marriage (Hatuna meuheret; Mariage tardif) (2001)","Directed by Dover Kosashvili. Cast: Lior Louie Ashkenazi, Ronit Elkabetz, Moni Moshonov, Lili Kosashvili, Ayo Steinovits Laor, Rozina Cambos, Simon Chen, Sopir Kugman, Dina Doron. Unmarried at 31, Zaza has become an embarassment to his family. With one potential bride after another trotted out in front of him, he somehow manages to never tie the knot. Curious, his family investigates and discovers his secret relationship to a divorcee. Upset, the entire family decide to intervene. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4207"">DVD 4207Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0287471/"">Credits and other information from the Internet Movie DatabaseЖ"
"Little Vera (Malenkaya Vera) (1988)","Directed by Vasily Pichul. Cast: Natalya Negoda, Andrei Sokolov, Yuri Nazarov, Lyudmila Zajtseva, Aleksandr Negreba, Aleksandra Tabakova. The title character of the Russian Little Vera is a headstrong teenage girl, played by Natalya Negoda. To the dismay of her parents, Vera lives only for the moment, making no provision for her future. She'd rather hang out at local cafes in garish makeup and provocative clothing. A chance meeting with handsome student Sergei (Andrei Sokolov) develops into a sexual relationship. Her parents send out Vera's brother (Alexander Alexeyev-Negreba) to talk some sense into her. This proves doubly dicey when it turns out that the brother is an old acquaintance of the rebellious Sergei. Vera lies that she's gotten pregnant by Sergei, so he obligingly marries her and moves in with her family, which serves only to make matters worse. Vera's drunken father (Yuri Nazarov) ends up stabbing his son-in-law. Persuaded to lie about the incident to keep her father out of jail, Vera takes her family's side. A last-minute tragedy is barely averted, but we get the distinct feeling that Vera's problems with her family in particular and her life in general are far from over [synopsis from Ѭ href=""http://allmovie.com/"">All-Movie GuideЖ] 110 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8369"">DVD 8369Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:379"">vhs 999:379Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0095574/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Cardullo, Bert. ""Sexual Politics, European Style and the American Way."" The Hudson Review. Spring 1990. Vol. 43, Iss. 1; p. 106
â€¢149;Eagle, Herbert. ""The Indexicality of Little Vera and the End of Socialist Realism."" Wide Angle: A Film Quarterly of Theory, Criticism, and Practice, vol. 12, no. 4, pp. 26-37, Fall 1990.
â€¢149;Gessen, Masha. ""Sex in the media and the birth of the sex media in Russia."" Genders; 1995, Issue 22, p197-228, 32p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=BFLI970453790206764&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Herbert J Eagle. ""little Vera."" The Russian Review. Jul 2004. Vol. 63, Iss. 3; pg. 523, 2 pgs
â€¢149;Horton, Andrew. ""Little Vera."" Film Quarterly, Vol. 42, No. 4 (Summer, 1989), pp. 18-21 Ѭ href=""http://www.jstor.org/stable/1212823"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Isakava, Volha. ""The body in the dark: body, sexuality and trauma in perestroika cinema."" Studies in Russian & Soviet Cinema; 2009, Vol. 3 Issue 2, p201-214, 14p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=43936037&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Williamson, A. ""Rubles of the game."" Film Comment; Jan/Feb89, Vol. 25 Issue 1, p23, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=8903130534&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

"
"Luna Park (1991)","Director, Pavel Lounguine. Cast: Oleg Borisov, Andrei Goutine, Natalie Egorova. Andrei is the leader of a gang of right-wing skinheads in post-Communist Russia who are determined to ""clean up"" Russia by beating up Jews, foreigners, and anyone else they disapprove of. When, to his shock, the anti-Semitic Andrei learns that his father is actually a celebrated Jewish composer, he sets off on a frantic search through Moscow to find him. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2254"">vhs 999:2254Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0104776"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Pally, Marcia. ""Talking about My Generation: An Interview with Pavel Lounguine."" Cineaste, vol. 18, no. 2, pp. 24-26, 1991 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=9606206968&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Swaffar, Janet ""Identity signifiers in contemporary Russian films: A Lacanian analysis."" American Imago. Spring 2000. Vol. 57, Iss. 1; p. 95 Ѭ href=""http://muse.jhu.edu/journals/american_imago/v057/57.1swaffar.pdf"">Full-text of this article / review is available:UC users onlyЖ

"
"The Mermaid (1996)","Director, Alexander Petrov. In this animated short, a mermaid returns from the dead to avenge her life, but finds the one who betrayed her has long since retired from the world to atone for his sins. Two years in the making and nominated for an Academy Award this carefully crafted film was created through the technique of oil painting on glass. In Russian without English subtitles. 10 min. 999:3267","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0130860/"">Credits and other information from the Internet Movie DatabaseЖ
"
"The Mirror (Zerkalo) (1974)","Directed by Andrei Tarkovsky. Cast: Oleg Yankovsky, Margarita Terekhova, Ignat Daniltsev. Presents images of Tarkovsky's childhood mixed with fragments of his adult life - a child's wartime exile, a mother's experience with political terror, the breakup of a marriage, life in a country home - all intermingled with slow-motion dream sequences and poetic chunks of stark newsreels. 106 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2298"">DVD 2298Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0072443/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#mirror"">See separate bibliography of reviews and articles about this filmЖ"
"Moloch (Russia / Germany / Japan / Italy / France, 1999)","Director: Aleksandr Sokurov. Cast: Leonid Mosgowoi, Elena Rufanowa, Leonid Sokol, Yelena Spiridonova, Vladimir Bogdanov, Anatoli Shvedersky. In an ominous fortress perched high above the clouds, everything seems in order for a reposing 24 hours. It is the spring of 1942 in Germany and Eva Braun is the only voice that dares contradict the Fuhrer. Eva is caught up in the complexities of a man incapable of human intimacy, making her as volcanic as her beloved Hitler. 72 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X598"">DVD X598Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0199777/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#sokurov"">Aleksandr Sokurov bibliographyЖ


"
"Mongol (Kazakhstan / Russia / Mongolia / Germany, 2007)","Directed by Sergei Bodrov. Cast: Asano Tadanobu, Sun Hong Ley, Khulan Chuluun, Odnyam Odsuren, Delves into the dramatic and harrowing early years of Genghis Khan (1162-1227), the ruler who was born as Temudgin in 1162. Follows Temudgin from his perilous childhood to the battle that sealed his destiny. Portrays the future conqueror not as an evil brute, but as an inspiring, fearless and visionary leader. 126 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X434"">DVD X434Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0416044/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards
â€¢149;National Board of Review - Best Foreign Language Film



Reviews and articles:

â€¢149;Beale, Lewis. ""Mongol."" Film Journal International, Jun2008, Vol. 111 Issue 6, p37-38, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=32444495&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Brett, Anwar. ""Sergei Bodrov"" Film Review, Jul2008, Issue 697, p86-91, 6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=32612344&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Brooke, Michael. ""Mongol."" Sight & Sound, Jun2008, Vol. 18 Issue 6, p68-69, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=32059686&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Eagan, Daniel. ""Epic Challenge."" Film Journal International, Jun2008, Vol. 111 Issue 6, p16-27, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=32444482&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

"
"Moscow Does Not Believe in Tears (Moskva Slezam ne Verit) (1979)","Director, Vladimir Menshov. Cast: Vera Alentova (Katerina), Irina Muravyova (Liudmila), Raisa Ryazanova (Antonina), Alexei Batalov (Gosha). A romantic comedy about three young, working-class, country girls, who go to Moscow in 1958 to seek work, men, and success. The film closes by skipping forward twenty five years to see just how many of their dreams came true. 150 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+835"">DVD 835Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:1553"">VHS 999:1553Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0079579/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=b1c625da-11f0-4b9f-9284-59164a9db623"">View this video onlineЖ

â€¢149;Awards
â€¢149;Academy Award - Best Foreign Language Film



Reviews and articles:

â€¢149;First, Joshua. ""Making Soviet Melodrama Contemporary: Conveying 'Emotional Information' in the Era of Stagnation."" Studies in Russian and Soviet Cinema, vol. 2, no. 1, pp. 21-42, 2008 Ѭ href=""http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790e941a81a197ed1fcad28ef627024e711b86ea3da638ed172c1a68718e18df16e2&fmt=P%20First,%20J.%20Making%20Soviet%20melodrama%20contemporary:%20conveying%20'emotional%20information'%20in%20the%20era%20of%20Stagnation.%20Studies%20in%20Russian%20&%20Soviet%20Cinema%20v.%202%20no.%201%20(2008)%20p.%2021-42"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Gillespie, David. ""Moskva slezam ne verit/Moscow Doesn't Believe in Tears: Vladimir Men'shov, USSR, 1979."" In: The cinema of Russia and the former Soviet Union / edited by Birgit Beumers ; [preface by Sergei Bodrov]. London ; New York : Wallflower Press, 2007. (Main (Gardner) Stacks PN1993.5.R8 C564 2007)
â€¢149;Kolchevska, Natasha. ""Angels in the Home and at Work: Russian Women in the Khrushchev Years."" Women's Studies Quarterly; Fall/Winter2005, Vol. 33 Issue 3/4, p114-137, 24p Ѭ href=""http://www.jstor.org/stable/40004421"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;MacFadyen, D. ""Moscow Does Not Believe in Tears"": From Oscar to consolation prize."" Studies in Russian & Soviet Cinema v. 1 no. 1 (2007) p. 45-67 Ѭ href=""http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790e941a81a197ed1fca828f3a3ba2d05563bacfecc511e935bcf6c769844049e367&fmt=P%20MacFadyen,%20D."" moscow="""" does="""" not="""" believe="""" from="""" oscar="""" to="""" consolation="""" prize.="""" studies="""" in="""" russian="""" soviet="""" cinema="""" v.="""" no.="""" p.="""">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Menashe, Louis. ""Moscow Believes in Tears: The Problems (and Promise?) of Russian Cinema in the Transition Period."" Cineaste: America's Leading Magazine on the Art and Politics of the Cinema, vol. 26, no. 3, pp. 10-17, Summer 2001 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=4830352&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

"
"Mother and Son (Mat i syn) (1997)","Director: Aleksandr Sokurov. Cast: Aleksei Ananishnov, Gudrun Geyer. ""A miracle of film lyricism with sound and light... produced by using stained glass, mirror effects and special lenses."" Within a small cabin cloistered in a netherworld as idyllic as a dream, an ailing mother and her grown son get ready for her passing. As the dutiful son comforts his dying mother in her final hours, heartbreak is inevitable. 72 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X598"">DVD X598Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0119711/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#motherson"">See separate bibliography of reviews and articles about this filmЖ"
"My Name Is Ivan (Ivan's Childhood)(Ivanovo detstvo) (1963)","Director: Andrei Tarkovsky. Cast: Kolia Burlaiev, Valentin Zubkov, Valentina Maliavina, Yevgeny Zharikov. During World War II twelve year-old Ivan, hell-bent on revenge after his family is killed by German soldiers, serves the Russian army by reconnoitering behind enemy lines. 99 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2268"">DVD X2268Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3577"">vhs 999:3577Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0056111/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=d6219187-0382-48d3-9605-58290db5a6fd"">View this video onlineЖ

â€¢149;Awards
â€¢149;Venice Film Festival - Golden Lion
â€¢149;San Francisco International Film Festival - Best Director



Reviews and articles:

â€¢149;Daly, Fergus; Waugh, Katherine. ""Ivan's Childhood."" Senses of Cinema vol. 15, pp. (no pagination), Summer 2001 Ѭ href=""http://www.sensesofcinema.com/contents/cteq/01/15/ivans_childhood.html"">Full-text of this article / review is available:Ж
â€¢149;Ross, Bruce. ""Nostalgia and the Child 'Topoi': Metaphors of Disruption and Transcendence in the Work of Joseph Brodsky, Marc Chagall and Andrei Tarkovsky."" Analecta Husserliana, vol. 28, pp. 307-323, 1990
â€¢149;Thompson, John O. ""Reflexions on Dead Children in the Cinema and Why There Are Not More of Them."" In: Representations of childhood death / edited by Gillian Avery and Kimberley Reynolds. New York : St. Martin's Press, 2000. (Main Stack HQ1073.R46 2000)
â€¢149;Youngblood, Denise J. ""A war remembered: Soviet films of the Great Patriotic War."" American Historical Review; 2001, Vol. 106 Issue 3, p839-956, 118pѬ href=""http://www.jstor.org/stable/2692327"">Full-text of this article / review is available:Ж



See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#tarkovsky"">Tarkovsky bibliographyЖ

"
"The Nose (Le Nez) (1963)","Directed by Alexander Alexeieff. Fantastic pictures animated on the pinboard capture without words the scene and spirit of Nicolai Gogol's celebrated short story set in 19th century Russia. This best known of the Alexeieff & Parker films, critics have written, is ""full of art and poetry"" and ""should be seen more than once for a full awareness of its artistry."" 11 min. (With Alexeieff at the Pinboard, & Night on Bald Mountain). 999:3047","â€¢149;Ѭ href=""http://us.imdb.com/Title?0024721"">Credits and other information from the Internet Movie DatabaseЖ"
"Nostalghia (1983)","Directed by Andrey Tarkovsky. Cast: Oleg Jankovsky, Erland Josephson, Domiziana Giordano. A homesick Russian poet, Gorchakov, researching in Italy with the aid of a beautiful interpreter, Eugenia, arrives at a Tuscan spa and while there encounters the local mystic, who sets him on a challenging task. 120 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+538"">DVD 538Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:2851"">VHS 999:2851Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0086022"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;Cannes Film Festival - Best Director; FIPRESCI Prize; Prize of the Ecumenical Jury


Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#nostalgia"">See separate bibliography of reviews and articles about this filmЖ"
"Oblomov(1979)","Directed by Nikita Mikhalkov. Cast: Oleg Tabakov, Elena Solovei. A moving adaptation of Ivan Goncharov's great 19th century tragi-comedy about a gentle aristocrat who would rather sleep than compete in a modern world of expanding industrialization. Based on the novel by Ivan Goncharov.142 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4651"">DVD X4651Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0079619/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#mikhalkov"">Nikita Mikhalkov bibliographyЖ


"
"Okraina (The Outskirts) (1998)","Directed by Pyotr Lutsik. Cast: Yuri Dubrovin, Nikolai Olyalin, Aleksei Pushkin, Aleksei Vanin. A group of Russian men fight injustice as they try to discover who stole their land. Their hunt for the offenders takes them from the gentle countryside to the halls of power. 95 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6565"">DVD 6565Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0165901/"">Credits and other information from the Internet Movie DatabaseЖ"
"Oligarkh (Tycoon: A New Russian; Un nouveau russe) (2002)","Directed by Pavel Lounguine. Cast: Vladimir Mashkov, Mariya Mironova, Andrei Krasko, Levani Uchaneishvili, Mikhail Vasserbaum, Sergei Yushkevich, Aleksandr Samojlenko, Natalya Kolyakanova. During the Gorbachev years, Platon Makovski and his four buddies are university students who jump on the private capitalism movement. Fast-forward 20 years, Platon finds himself the richest man in Russia, having sacrificed his friends to get to the top. But with this cynical rise, comes a brutal fall. 128 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4082"">DVD 4082Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0308671/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Lipovetsky, M. ""New Russians as a Cultural Myth."" Russian Review; Jan2003, Vol. 62 Issue 1, p54-71, 18p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=8954829&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Pozekfsky, P. ""Russian gangster films as popular history: genre, ideology and memory in Pavel Lungin's ""Tycoon""."" Studies in Russian & Soviet Cinema v. 2 no. 3 (2008) p. 299-325 Ѭ href=""http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790e941a81a197ed1fcad28ef627024e711b3fcab07d2e78ae04e940721bc6480348&fmt=P%20Pozekfsky,%20P.%20Russian%20gangster%20films%20as%20popular%20history:%20genre,%20ideology%20and%20memory%20in%20Pavel%20Lungin's"" studies="""" in="""" russian="""" soviet="""" cinema="""" v.="""" no.="""" p.="""">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Roberts, Rex. ""Tycoon."" Film Journal International, Jun2003, Vol. 106 Issue 6, p48, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=ibh&AN=10958358&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

"
"One Day in the Life of Andrei Arsenevich (1999)","Widely regarded as one of the greatest filmmakers of the 20th century, this is a homage to post-War Russian filmmaker Andrei Tarkovsky by his friend and colleague renowned French filmmaker Chris Marker. Marker draws parallels between Tarkovsky's life and films, offering an original insight into the usually reclusive director. Incorporating extensive film clips, journal entries, personal musings, and behind-the-scenes footage of Tarkovsky obsessively commanding his entire crew and of candid moments with his friends and family, this is a personal and loving portrait of the monumental filmmaker. 55 min. 

See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#tarkovsky"">Andrei Tarkovsky bibliographyЖ


","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7646"">Video/C 7646Ж"
"Oriental Elegy (Vostochnaya elegiya ; Élégie orientale) (Russia / Japan, 1996)","Director, Aleksandr Sokurov. The first among the ""Japanese"" videos by Alexander Sokurov, where real people are represented in their normal conditions and surroundings. They are simple people, but not ordinary. Their originality lies in the special nature of their souls, where poetry and mythology mean more than the symbols of contemporary reality. 43 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2683"">DVD X2683Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0122467/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#sokurov"">Aleksandr Sokurov bibliographyЖ


"
"Ostrov (The Island) (Russia, 2006)","Director, Pavel Lungin. Cast: Piotr Mamonov, Viktor Sukhorukov, Dmitry Dyuzhev, Yuri Kuznetsov, Viktorya Isakova, Nina Usatova. Ostrov: Somewhere in Northern Russia in a small Russian Orthodox monastery lives an unusual man whose bizarre conduct confuses his fellow monks, while others who visit the island believe that the man has the power to heal, exorcise demons and foretell the future. Brother: The childhood memories and antics of a little boy afflicted with asthma. 112 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7743"">DVD 7743Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0851577/"">Credits and other information from the Internet Movie DatabaseЖ"
"Pastorali (Pastoral) (1975)","Director, Otar Iosseliani. Cast: Nestor Pipia, Rezo Charkhalashvili, Marina Kartsivadze, Baia Macaberidze, Vaxtang Eremashvili. The film tells the story of the well-trained musicians from a string quartet who spend the summer rehearsing in a small village in Georgia. Though they rehearse and bicker among themselves, the four become increasingly involved in local controversies and in the lives of the villagers. 91 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4448"">DVD 4448Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0124046/"">Credits and other information from the Internet Movie DatabaseЖ

","See also:","â€¢149;Lopate, Phillip. ""Georgia on My Mind."" Film Comment. New York: Jan/Feb 2005. Vol. 41, Iss. 1; pg. 56, 6 pgs Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00308867"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Shatirishvili, Zaza. ""The montage of Tbilisi culture."" Film International 2006, Vol. 4 Issue 23, p48-51, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=23122056&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ"
"Peter the First (1937-1939)","Directed by Vladimir Petrov. Chronicles the later years of Tsar Peter's life, during which he almost singlehandedly, forged a medieval Russia into a modern Western nation. Filmed over a three year period, with a cast of more than 5000, the film utilizes montage techniques as created by Eisenstein, Pudovkin, and Dovzhenko to present this crucial period of Russian history. 203 min. 999:3383","â€¢149;Ѭ href=""http://us.imdb.com/Title?0029405"">Credits and other information from the Internet Movie DatabaseЖ"
"Prisoner of the Mountains (Kavkazskii plennik) (1996)","Directed by Sergei Bodrov. Cast: Oleg Menshikov, Sergei Bodrov, Jr., Djemal Sikharulidze, Susanna Mekhralieva, Alexander Bureev, Valentina Fedotova, Alexei Jarkov. A Russian army patrol is ambushed by Caucasian rebels and two survivors are taken prisoner by a local patriarch who is hoping to barter them for the release of his captured son. A bond of understanding develops between the soldiers and their captors, but it is broken when plans for their release go awry and a chain of violence and retaliation is precipitated. 99 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2267"">DVD 2267Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0116754/"">Credits and other information from the Internet Movie DatabaseЖ
"
"¿Que Viva Mexico!¿Ж (Da zdravstvuyet Meksika!)","Director Sergei Eisenstein's long-lost silent film shot by the great Eduard Tisse in 1931. Divided into segments; a wedding, a bullfight, a fiesta, a dramatized abortive uprising at the turn of the century. Russian with English subtitles. 1979. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+999:876"">Video/C 999:876Ж","Also on : Romance sentimentale: Eisenstein's first sound film, this experimental 1930 short is a dazzling symphony of images and sounds, made in collaboration with Alexandrov and Tisse. Misery and fortune of woman: A 20 minute excerpt from an ultra-rare 1929 film by Eisenstein, Alexandrov and Tisse intended to encourage legal and sanitary birth/abortion clinics in Europe. A stunning dramatization of the plight of working class women. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+668"">DVD 668Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+668"">DVD 668Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0022756"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#mexico"">See separate bibliography of reviews and articles about this filmЖ


See also:
â€¢149;Ѭ href=""#fantasy"">Sergei Eisenstein Mexican FantasyЖ


"
"Repentance (Monanieba; Pokayanie) (1987)","Directed by Tengiz Abuladze. Cast: Avtandil Makharadze, Iya Ninidze, Merab Ninidze, Zeinab Botsvadze, Veriko Anjaparidz. In a small, somewhat surreal Russian village, a mysterious woman is put on trial for repeatedly digging up the body of Varlam, the town's recently deceased ruler. The trial progresses and the townspeople learn that the woman's parents perished under Varlam's vicious reign of terror along with other innocents. As her ghastly revelations gradually reveal the truth about Varlam's monstrous inhumanity, the film is transformed into a searing expose of the brutal repressions and heroic sacrifices of the Soviet Union's Stalinist era. In Georgian with English subtitles. 151 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2352"">DVD 2352Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2738"">vhs 999:2738Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0093754"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;Cannes Film Festival - Grand Prize of the Jury; FIPRESCI Prize; Prize of the Ecumenical Jury


Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#repentance"">See separate bibliography of reviews and articles about this filmЖ
"
"The Return (Vozvrashchenie) (2003)","Directed by Andrei Zvyagintsev. Cast: Vladimir Garin, Ivan Dobronravov, Konstantin Lavromenko, Natalya Vdovina. Having a fatherless childhood, young brothers Andrei and Ivan have grown closer than most siblings. But when they least expect it, the father the boys have never known returns. Under the cool midnight sun of a coastal Russian summer, the boys eagerly hop into a car for a fishing trip with a complete stranger they absolutely need to believe is their father. As they travel deep into the wilderness, their journey devolves from vacation to boot camp to father-son love triangle and ultimately to a test of wills that pushes to the brink of violence. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4458"">DVD 4458Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0376968/"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;Venice Film Festival - Golden Lion; Best First Film

"
