"Source:","http://www.lib.berkeley.edu/MRC/GayVid.html"
"
Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies

"
"","Gay, Lesbian, Bisexual, Transgender,
"[Hammer, Barbara] Nitrate Kisses.","Explores eroded emulsions and images for lost vestiges of lesbian and gay culture. Barbara Hammer weaves striking images of the sexual activities of four gay and lesbian couples with footage that unearths the forbidden and invisible history of a marginalized people. Dist.: Ѭ href=""http://www.frameline.org"">FramelineЖ. 1992. 67 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6225"">Video/C 6225Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0107693"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#nitrate"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"[Hammer, Barbara] Out in South Africa","A look at the social and political conditions for gay and lesbian people in present-day South Africa. Features interviews and historical background on the country's transformation into an open society for gay people. Directed, and edited by Barbara Hammer. c1994. 51 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9133"">Video/C 9133Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149;Ѭ href=""http://wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc2"">s/c2Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"[Hammer, Barbara] Tender Fictions.","A film by Barbara Hammer. Autobiographical film tracing the life of Barbara Hammer, lesbian filmmaker and activist, presented through numerous stills from her early life, home movies, experimental films, news footage and personal photographs. c1995. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7625"">Video/C 7625Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc426"">s/c426Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Hide and Seek","Mixes documentary and fiction to create a portrait of lesbian adolescence in 1960's America. The fictional narrative tells the story of 12-year-old Lou, coming to terms with her sexuality. Her story is woven between interviews with twenty adult lesbians who recount moments from their own childhoods. Also includes more than 100 photographs of lesbians when they were young girls and archival footage from educational films and home movies. A film by Su Friedrich. c1996. 64 min.   ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4701"">DVD 4701Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9134"">Video/C 9134Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"History Lessons","From an extraordinary body of archival footage -- some dating back to the 19th century -- of sports films, military films, vintage stag reels and lesbian angst dramas this film explores lesbian images from 1896 until 1969. Focusing on pervading images prior to Stonewall, the film exposes popular representations of lesbian culture. 2000. 66 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8220"">Video/C 8220Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"A History of Homosexuality in Six Scenes.","Live theater, music and dance sequences concerning various attitudes held throughout history towards homosexuals. Performed at the University of California, Berkeley, on May 13, 1993. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3228"">Video/C 3228Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Holy Mary.","From director Jerry Tartaglia, a funny look at gender, fashion, and the head of one of the world's largest all male clubs: Pope John Paul II. 1993?. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3249"">Video/C 3249Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Homo Promo.","A compilation of selections from motion pictures produced between 1956 and 1976 which examine the theme of homosexual relationships. Curated by Jenni Olson. Includes the 1965, 22 min. film: Queens at heart / [presented by] Southeastern Pictures Corporation. Ѭ href=""http://www.frameline.org"">FramelineЖ. 199?. 60 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X238"">DVD X238Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3456"">Video/C 3456Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Homosexuals (CBS Report)","A CBS Reports program that underscores the difference between modern (1966) sexual morals and those of the dominant culture. Mike Wallace attempts to give even-handed treatment to a subject very much taboo at the time by concluding that homosexuality is most probably a disease, mainly a male phenomenon, involving those incapable of maintaining deep and long lasting relationships. Gore Vidal makes an appearance and sounds a modern tone in the depths of this 40-year old stopped time piece, but his insights and observations are cut into pieces amidst much broader coverage of insistent anti-homosexual psychologists on the one hand and shadowy interviews with male homosexuals. A media history landmark produced in the same New York City that three years later saw the Stonewall riots that began the modern era of gay power activism. 1966. 44 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8569"">DVD 8569Ж","See also:","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149;CBS Reports: The Homosexuals Media Resources Center ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8569"">DVD 8569Ж","â€¢149;The Homosexuals Ѭ href=""http://en.wikipedia.org/wiki/CBS_Reports:_The_Homosexuals"">Wikipedia articleЖ","â€¢149;Ѭ href=""http://www.glbtq.com/arts/am_tv_news.html"">""American Television, News""Ж In: The Encyclopedia of Gay, Lesbian, Bisexual, Transgender and Queer Culture","â€¢149;Ѭ href=""http://proquest.umi.com/pqdweb?index=0&did=90285281&SrchMode=1&sid=2&Fmt=10&VInst=PROD&VType=PQD&RQT=309&VName=HNP&TS=1253734449&clientId=1566"">New York Times ad for this programЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Hope Along the Wind: The life of Harry Hay","A biographical examination of the life of Harry Hay, labor organizer, Marxist teacher, and founding member of the Mattachine Society, one of the first gay rights organizations in the United States. Ѭ href=""http://www.frameline.org"">FramelineЖ. 2001. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9785"">Video/C 9785Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"How Can I Be Sure That God Loves Me, Too?: A Sermon.","Rev. Mel White of the Universal Fellowship of Metropolitan Community Churches, responds to those who use the Bible to reject lesbian, gay, bisexual, and transgender people, by presenting a dramatic retelling of the life of Christ. 24 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7012"">Video/C 7012Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"In the Life.","A Televised newsmagazine of gay American issues and culture. 57 min each. . Ѭ href=""http://www.lib.berkeley.edu/MRC/IntheLife.html"">See separate listing for individual program contentЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4490"">Video/C 4490Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"It's Elementary: Talking About Gay Issues in School.","Directed by Debra Chasnoff. An exploration of what happens when experienced teachers talk to their students about lesbians and gay men. Students are asked to consider issues related to homosexuality at six elementary and middle schools. Presents footage of classroom activities and discussions with students exploring questions and issues presented to them by teachers and guest lecturers who come into their classes. Discusses school-wide presentations, activity-days, and how these events affect faculty, parents and teachers. Dist.: Ѭ href=""http://www.newday.com/"">New Day Films.Ж 1996. 78 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4957"">Video/C 4957Ж","Ѭ href=""http://www.lib.berkeley.edu/MRC/documentarybib.html#chasnoff"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Jodi: An Icon","Examines how actress Jodie Foster and her on-screen roles have become viewed as a lesbian role model. The film also presents scenes from the Jodie Foster look alike contest in San Francisco and includes a montage of views on Foster's butch femme indeterminacy which help to confirm Foster's status as a dyke icon. c1996. 24 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9128"">Video/C 9128Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149;Ѭ href=""http://wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc12"">s/c12Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Joy of Gay Sex.","Live theater, music and dance sequences concerning homosexual relationships. Performed at the University of California, Berkeley, on December ll, 1993. 104 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3227"">Video/C 3227Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Judith Butler: Philosophical Encounters of the Third Kind","Judith Butler, professor in the Departments of Rhetoric and Comparative Literature at the University of California, Berkeley, is one of the world's most important and influential contemporary thinkers in fields such as continental philosophy, literary theory, feminist and queer theory, and cultural politics. In the film, Butler covers a wide range of subjects, broaching not only controversial gender issues-including transsexuality and intersexuality-but also 20th century Jewish philosophy, AIDS activism, criticism of state power and violence, gay marriage, and anti-Zionism. This first film profile will serve to popularize her insightful analysis of sexual identity and gender roles at a time when the cultural and political debate over these issues pervades American society. A film by Paule Zajdermann. 2006. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7258"">DVD 7258Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149;Ѭ href=""http://www.frif.com/new2007/judi.html"">Description from First Run/Icarus catalogЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Keep not Silent: Ortho-Dykes.","Documents the lives of three Ortho-Dykes, lesbians living, with varying degrees of anonymity, with the Orthodox population of Jerusalem. Miriam-Esther is married and keeps her desires completely hidden from her husband and children; Ruth lives a double life, alternating nights between her girlfriend and her completely aware husband; and Yehudit lives openly with her partner despite her rabbi father's disapproval. Directed and produced by Ilil Alexander. 2004. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5307"">DVD 5307Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"L is for Way You Look.","An exploration of lesbian history and the women who have served as role models and objects of desire for young lesbians. Also discusses how media images of lesbians affect the construction of identity and how lesbians are written in and out of history. 1991. 23 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3272"">Video/C 3272Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149;Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc5"">s/c5Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Last Call at Maud's.","A look at the world's longest running lesbian bar, Maud's in San Francisco. Film interweaves rare archive film of the gay bar scene in the 1940's, the vice raids of the 1950's, the gay counter culture of the 1960's and ""coming out"" in the 1970's up until the bar closed its doors in 1989. Director, Paris Poirier. 1993. 77 min.   ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4172"">DVD 4172Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3184"">Video/C 3184Ж","Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#mauds"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Lavender Limelight: Lesbians in Film.Ж","Featuring: Cheryl Dunye, Rose Troche, Jennie Livingston, Monika Treut, Maria Maggenti, Su Friedrich, Heather MacDonald. Intimate conversations with lesbian film directors, including clips from their works, in which they explore their sexual identity, growing up gay, inspirations and techniques of filmaking, Hollywood vs. Indie and love and sex, on screen and off. 1997. 57 min. ; also  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3615"">DVD 3615Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1729"">DVD X1729Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5431"">Video/C 5431Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Lesbian Avengers Eat Fire Too.","A documentation of the activities of the Lesbian Avengers, a lesbian activist group based in the New York City area. In it is shown how lesbians are demonstrating, by means of marches, rallies and other methods, for equal rights for lesbians, and for getting across the message that lesbians are just ordinary human beings like everybody else. Directed and edited by Janet Baus and Su Friedrich. 2005. 55 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4703"">DVD 4703Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Lesbian Nation: Short Films","Contents: Playing the part / Mitch McCabe (38 min.) -- Jumping the gun / Jane Schneider (10 min.) -- Lavender limelight : lesbians in film / Marc Mauceri (56 min.) -- Carmelita Tropicana: your kunst is your waffen / Ela Troyano (28 min.) -- Little women in transit / Barbara Heller (7 min.) Playing the part: Photographic essay about the obstacles a woman faces in telling her parents that she's a lesbian. Lavender limelight: Intimate conversations with lesbian film directors, including clips from their works, in which they explore their sexual identity, growing up gay, inspirations and techniques of filmaking, Hollywood vs. Indie and love and sex, on screen and off. Carmelita Tropicana: Humorous monologues, soapy melodramas, and campy production numbers ensue when a Latina performance artist who supports herself as a building super on New York's Lower East Side winds up in jail with some other riot girls. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1729"">DVD X1729Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"LGBT Association Conference, February 11-13, 2000","University of California Lesbian, Gay, Bisexual and Transgender Association. 2000. Presentations by speakers at the annual conference of the University of California LGBT Association addressing issues of concern to homosexual students and speeches on homosexual rights. Presentations by: Evan Wolfson (49 min.) -- Carla Trujillo (76 min.) -- Philip DuBois (72 min.) -- Kevin Jennings (60 min.) -- Francisco Alarcon (68 min.) -- Candace Gingrich (72 min.). 6 tapes;2000. 397 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6898"">Video/C 6898Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Lesbian Underground: On Being a Lesbian Before the Women's Liberation Movement(KPFA, Dec. 1978)","Sabrina Sojourner hosts a discussion on the lesbian underground, or what it was like to be a lesbian before the feminist and gay liberation movement. Guests include Del Martin, author and Commissioner of the San Francisco Commission on the Status of Women, Phyllis Lyon, Commissioner for the Human Rights Commission in San Francisco, and Pat Bond, comedian. Produced by Karla Tonella. Originally broadcast on: KPFA, Dec. 1978. 60 min. Pacifica Radio Archives, AZ0294","Ѭ href=""http://digitalassets.lib.berkeley.edu/pra/ucb/ram/BB1419.ram"">Listen to itЖ
","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Lesbians(WBAI, Dec. 10 1963)","Nine lesbians discuss their lives and experiences. Interviewed by Charles Hayden. Originally broadcast on: WBAI, Dec. 10 1963. 49 min. Pacifica Radio Archives, BB3264","Ѭ href=""http://digitalassets.lib.berkeley.edu/pra/ucb/ram/BB3264.ram"">Listen to itЖ
","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Liberty: 3 Stories About Life & Death","Explores the deep interconnectedness of a lesbian family of friends as they journey through both the joys of knowing each other and the tragedy of loss through death. In this compelling three-part documentary, we find the mix of loss and courage, fear and joy, and pain and determination that make up the experience of living and dying. Director: Pam Walton. Dist.: Ѭ href=""http://newday.com/"">New Day FilmsЖ c2004. 55 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6486"">DVD X6486Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Life & Times of Allen Ginsberg.","Depicts Allen Ginsberg, an American poet and social activist in the different decades of his life and activities. Includes interviews with contemporaries of his cultural era. A film by Jerry Aronson. c1993. 82 min.  
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6808"">DVD 6808Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3463"">Video/C 3463Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149;Awards","â€¢149;International Documentary Association","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#ginsberg"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"A Litany for Survival: The Life and Work of Audre Lorde","Audre Lorde, poet and lesbian-feminist talks about being lesbian and black in New York in the 1950s and her social/political activity. Includes conversations and readings by Lorde and comments by other writers and family members. 1996. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5667"">Video/C 5667Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149;Awards","â€¢149;American Library Assn. Video Round Table Notable Videos for Adults","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Live to Tell: The First Gay and Lesbian Prom in America","Chronicles the lives of the students of the EAGLES Center, an alternative high school in Los Angeles for gay and lesbian teens who, due to persecution, are unable to function in the regular school system. Shows their efforts to organize a citywide prom for over 200 gay and lesbian high school students in Los Angeles County and the first gay and lesbian prom in America. c1995. 24 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4804"">Video/C 4804Ж","Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#totell"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Living Proof: HIV and the Pursuit of Happiness.","Presents narratives by persons who have AIDS or are HIV positive. Kermit Cole discovered a diverse community, straight and gay, female and male, young and old, filed with active and vibrant people who live contrarily to every dismal and oppressive image of the typical AIDS victim presented by the media. Producer/director, Kermit Cole. 1993. 72 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3304"">Video/C 3304Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://www.frif.com/cat97/k-o/living_p.html"">Description from First Run/Icarus catalogЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#proof"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Living with AIDS.","Roosevelt Williams addresses a class on medical ethics concerning his experiences with the medical establishment while being treated for the disease of AIDS. Lecture presented to IDS 130 class, Seminar on Social, Political and Ethical Issues in Health and Medicine, at the University of California, Berkeley, in March, 1994. 55 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3226"">Video/C 3226Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Lost Tribe.","Ex-Mormon-lesbian comedian Sue Ann Post attends the annual conference of Affirmation, an organization of gay, lesbian, bisexual and transgender Mormons in Salt Lake City Utah. An observational documentary following Sue Ann's funny, bizarre and confronting journey to Mormon Zion as she performs for an audience of predominately devout, excommunicated gay Mormons. A film by Rachel Landers. 2005. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5306"">DVD 5306Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc667"">s/c667Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Love Man Love Woman (Chuyâ€¢234;n thay duc = The tale of Master Duc)","In this documentary, the filmmaker follows Master Luu Ngoc Duc, one of the most prominent spirit mediums in Hanoi, and his vibrant community through their rituals and everyday life. The film explores how effeminate and gay men in homophobic Vietnam have traditionally found community and expression in the country's popular Mother Goddess Religion, Dao Mau. Directed, shot, produced & edited by Nguyen Thi. Trinh. c2007. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6602"">DVD X6602Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Making the Boys","This documentary ""explores the drama, struggle, and enduring legacy of the first-ever gay play and subsequent Hollywood movie to successfully reach a mainstream audience. The boys in the band sparked heated controversy that still exists four decades later. Features anecdotes from the surviving cast and filmmakers."" Directed and produced by Crayton Robey. 2011. 93 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6719"">DVD X6719Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"March on Washington.","Documents the April 1993 March on Washington for Lesbians, Gay and Bi Equal Rights and Liberation featuring interviews, excerpts from speeches and musical performances. c1993. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4075"">Video/C 4075Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Market This!: Queer Radicals Respond to Gay Assimilation","A documentary that explores the desire for radical politics and culture in the gay, lesbian, bisexual, and transgender community. The film began in 1999 after the Queeruption gathering in New York City. During workshops and caucuses, through discussion and entertainment, participants came together to explore ways that our community can sustain and validate itself without supporting a system that actively exploits poor people, women, people of color, and gay people. 2002. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1139"">Video/C MM1139Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Meeting Two Queens","A film which links two queens of the silver screen, Greta Garbo and Marlene Dietrich through motifs such as the cigarette and circuitry of meaningful gazes and gestures. Clips from their signature roles are remounted in silent film style vignettes casting them in the role of lovers by Chilean video artist Barriga. A videotape by Cecilia Barriga. c1991. 14 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9130"">Video/C 9130Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149;Ѭ href=""http://wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc7"">s/c7Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Reviews and articles:","â€¢149;Desjardins, Mary. ""Meeting Two Queens"": Feminist Film-Making, Identity Politics, and the Melodramatic Fantasy."" Film Quarterly, Vol. 48, No. 3 (Spring, 1995), pp. 26-33 Ѭ href=""http://www.jstor.org/stable/1213292"">Full-text of this article / review is available:UC users onlyЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Milk/Moscone Murder News Coverage.","Local news coverage, 1978. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3321"">DVD X3321Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2222"">Video/C 2222Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/NetworkQ.html"">Network Q.Ж","A monthly video news service published monthly providing the gay perspective on America. MRC has November 1992-December 1994. Ѭ href=""http://www.lib.berkeley.edu/MRC/NetworkQ.html"">See Separate Listing for contents of individual programs.Ж ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4000"">Video/C 4000Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Nitrate Kisses.","Explores eroded emulsions and images for lost vestiges of lesbian and gay culture. Barbara Hammer weaves striking images of the sexual activities of four gay and lesbian couples with footage that unearths the forbidden and invisible history of a marginalized people. Dist.: Ѭ href=""http://www.frameline.org"">FramelineЖ. 1992. 67 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6225"">Video/C 6225Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0107693"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#nitrate"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"No Secret Anymore: The Times Of Del Martin & Phyllis Lyon","Chronicles the lives of two women who have been partnersin love and political struggle for half a century. SanFrancisco icons, Del Martin and Phylllis Lyon areknown as the founders of the modern lesbian civilrights movement. This documentary follows them throughsix decades, tracing the emergence of lesbians fromthe fear of discovery to the expectation of equality. Produced and directed by Joan E. Biren. Dist.: Ѭ href=""http://www.frameline.org"">FramelineЖ. c2003. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2431"">DVD 2431Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149;Awards","â€¢149;American Library Association Video Round Table: Notable Videos for Adults","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Odds of Recovery.","The filmmaker documents her personal journey through illnesses, surgeries and problems she encounters with the medical establishment. She strongly feels that these problems also affected the sexual relationship with her lesbian companion. Alternative treatments to solve her medical problems included tai chi and acupuncture, gardening and embroidery. A film by Su Friedrich. 2005. 65 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4700"">DVD 4700Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Off the Straight & Narrow: Lesbians, Gays, Bisexuals & Television.","This is the first in-depth documentary film to cast a critical eye over the growth of gay images on television. Leading media scholars provide the historical and cultural context for exploring the implications of these new representations for political and cultural meanings. 1998. 63 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5709"">Video/C 5709Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Oldest Lesbian in the World","Nearing 100 years old, Bobby Staff whimsically exposes a rare and revealing insight into the romantic life of a butch lesbian born in 1913. Accompanied by her long time friend, Sweet Baby J'ai, Bobbie takes us on a trip down a very steamy memory lane, through photographs and vivid memories of many decades living her life as an out lesbian in New York City and Los Angeles. Directors and producers, Mary Jo Godges, Renee Sotile. c2011. 23 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7077"">DVD X7077Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"On Being Gay.","A conversation with Brian McNaught: syndicated columnist, author, counselor, and lecturer. Discusses the fallacies, the facts, and the feelings of being gay in a straight world. He encourages viewers to realize their individual potential and to replace self-hate with self-esteem, self-doubt with self- knowledge, self-consciousness with self-confidence. 1986. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3309"">Video/C 3309Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"On Common Ground.","An idiosyncratic portrait of the tragedies and triumphs of the gay liberation movement. Examines the political urgency of the 60's to the alienation and social contradictions of the 90's. c1992. 90 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3376"">Video/C 3376Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Our Brothers, Our Sons.","Examines the resurgent AIDS crisis through the prism of eight gay men -- four Baby Boomers and four GenXers who talk about their experiences with HIV/AIDS and safer sex messages. Explores the failure of traditional safe-sex messages to reach a new generation. Written and directed by Jim Arnold. 2002. 24 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5093"">DVD 5093Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
